,title,salary,link,site
171,Python разработчик (Django),"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/47562337?from=vacancy_search_list&query=python%20developer,https://hh.ru
172,Senior Python Developer,"{'min_salary': 160000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://nn.hh.ru/vacancy/43968966?from=vacancy_search_list&query=python%20developer,https://hh.ru
173,Python Developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/48255275?from=vacancy_search_list&query=python%20developer,https://hh.ru
174,Senior Python Developer (Tech Lead),"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/47215293?from=vacancy_search_list&query=python%20developer,https://hh.ru
175,Python Developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/48255274?from=vacancy_search_list&query=python%20developer,https://hh.ru
176,Python developer (Middle),"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/47637840?from=vacancy_search_list&query=python%20developer,https://hh.ru
177,Middle QA Automation Engineer (Python),"{'min_salary': 180000, 'max_salary': 250000, 'currency': 'руб.'}",https://nn.hh.ru/vacancy/43394113?from=vacancy_search_list&query=python%20developer,https://hh.ru
178,Python Engineer (Platform),"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/46863563?from=vacancy_search_list&query=python%20developer,https://hh.ru
179,"Backend Developer (Python, Django)","{'min_salary': 3000, 'max_salary': 4000, 'currency': 'USD'}",https://nn.hh.ru/vacancy/47612099?from=vacancy_search_list&query=python%20developer,https://hh.ru
180,Python Developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/47479524?from=vacancy_search_list&query=python%20developer,https://hh.ru
181,Junior Python Developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/46391520?from=vacancy_search_list&query=python%20developer,https://hh.ru
182,Программист разработчик (Python middle),"{'min_salary': 120000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://nn.hh.ru/vacancy/47718941?from=vacancy_search_list&query=python%20developer,https://hh.ru
183,Senior Python Developer,"{'min_salary': 4000, 'max_salary': 5000, 'currency': 'USD'}",https://nn.hh.ru/vacancy/47973560?from=vacancy_search_list&query=python%20developer,https://hh.ru
184,"Разработчик Python| Developer Python, удаленно","{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/47767141?from=vacancy_search_list&query=python%20developer,https://hh.ru
185,"Python Django разработчик, удаленно","{'min_salary': 150000, 'max_salary': 200000, 'currency': 'руб.'}",https://nn.hh.ru/vacancy/47600594?from=vacancy_search_list&query=python%20developer,https://hh.ru
186,Data Scientist,"{'min_salary': 100000, 'max_salary': 'not salary', 'currency': 'руб.'}",https://nn.hh.ru/vacancy/48270565?from=vacancy_search_list&query=python%20developer,https://hh.ru
187,Middle/Senior Python Developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/47951809?from=vacancy_search_list&query=python%20developer,https://hh.ru
188,Python-разработчик (Middle),"{'min_salary': 'not salary', 'max_salary': 220000, 'currency': 'руб.'}",https://nn.hh.ru/vacancy/48258211?from=vacancy_search_list&query=python%20developer,https://hh.ru
189,Python developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/44270356?from=vacancy_search_list&query=python%20developer,https://hh.ru
190,Python Developer,"{'min_salary': 'not salary', 'max_salary': 'not salary', 'currency': 'not salary'}",https://nn.hh.ru/vacancy/48265277?from=vacancy_search_list&query=python%20developer,https://hh.ru
191,Программист-разработчик AI / Data scientist / NLP Developer (Обработка естественного языка),"{'min_salary': 110000, 'max_salary': 150000, 'currency': 'руб.'}",https://nn.hh.ru/vacancy/47651670?from=vacancy_search_list&query=python%20developer,https://hh.ru
